country,event_year,peak_spi,pct_pixels_affected,n_found,n_filtered,n_confirmed,corroboration_score,langs_seen,population_impact,avg_severity,status
Benin,2000,-3.02,100.0,5,5,1,0.2,en,False,,NO_EVIDENCE
Benin,2015,-2.39,99.4,8,8,4,0.5,en,False,,PARTIAL
Benin,2021,-2.31,100.0,10,10,3,0.3,en,False,,PARTIAL
Benin,2011,-2.08,100.0,6,6,3,0.5,en,False,,PARTIAL
Benin,2001,-2.03,100.0,1,1,0,0.0,en,False,,NO_EVIDENCE
Benin,2004,-1.86,88.5,1,1,0,0.0,en,False,,NO_EVIDENCE
Benin,2013,-1.75,78.7,10,10,2,0.2,"en,fr",False,,NO_EVIDENCE
Benin,2012,-1.69,64.9,4,4,0,0.0,en,False,,NO_EVIDENCE
Benin,2006,-1.67,100.0,2,2,1,0.5,en,False,,PARTIAL
Benin,2007,-1.66,88.5,3,3,2,0.667,en,False,severe,PARTIAL
Benin,2008,-1.56,99.4,3,3,1,0.333,en,False,,PARTIAL
Benin,2020,-1.51,100.0,10,10,3,0.3,en,False,,PARTIAL
Benin,2017,-1.5,94.3,10,10,5,0.5,en,False,,PARTIAL
Benin,2005,-1.46,78.2,1,1,1,1.0,en,False,,CONFIRMED
Benin,2016,-1.43,77.6,8,8,3,0.375,en,False,moderate,PARTIAL
Benin,2014,-1.43,54.6,6,6,1,0.167,"en,fr",False,,NO_EVIDENCE
Benin,2009,-1.36,81.6,3,3,0,0.0,en,False,,NO_EVIDENCE
Benin,2003,-1.31,30.5,0,0,0,0.0,,False,,NO_EVIDENCE
Benin,2002,-1.22,35.6,0,0,0,0.0,,False,,NO_EVIDENCE
